Sample is 7504_MIDDLE
Family	Number_16s
Sample is 7504_MIDDLE
Family	Number_16s

Sample is 7504_LOWER
Family	Number_16s
Sample is 7504_LOWER
Family	Number_16s

Sample is 7518_CB
Family	Number_16s
Sample is 7518_CB
Family	Number_16s

Sample is 7518_UPPER
Family	Number_16s
Sample is 7518_UPPER
Family	Number_16s

Sample is 7632_UPPER
Family	Number_16s
Sample is 7632_UPPER
Family	Number_16s

Sample is 7824_LOWER
Family	Number_16s
Sample is 7824_LOWER
Family	Number_16s

Sample is 7632_CS
Family	Number_16s
Sample is 7632_CS
Family	Number_16s

Sample is 7632_ELS
Family	Number_16s
Sample is 7632_ELS
Family	Number_16s

Sample is 7742_ELS
Family	Number_16s
Sample is 7742_ELS
Family	Number_16s

Sample is 7742_EMS
Family	Number_16s
Sample is 7742_EMS
Family	Number_16s

Sample is 7751_EMS
Family	Number_16s
Sample is 7751_EMS
Family	Number_16s
Burkholderiales	18
Methylobacteriaceae	37
Rhodobacteraceae	60
Burkholderiaceae	63
Pasteurellaceae	64
Rhizobiaceae	75
Dermacoccaceae	76
Carnobacteriaceae	81
Thiotrichaceae	84
Micrococcaceae	85
Streptococcaceae	100
Rhodospirillaceae	108
Xanthomonadaceae	109
Lactobacillaceae	111
Chitinophagaceae	120
Bacillaceae	146
Incertae	148
Bdellovibrionaceae	175
Microbacteriaceae	187
Leptotrichiaceae	215
Enterococcaceae	224
Propionibacteriaceae	226
Oxalobacteraceae	246
Methylophilaceae	309
Nocardioidaceae	355
Caulobacteraceae	356
Pseudomonadaceae	393
Comamonadaceae	485
Bradyrhizobiaceae	610
Sphingomonadaceae	669
Flavobacteriaceae	737
Moraxellaceae	1009
Chloroplast	2357
Enterobacteriaceae	2416

Sample is 7751_EUS
Family	Number_16s
Sample is 7751_EUS
Family	Number_16s
Rhodocyclaceae	13
Acetobacteraceae	18
Actinomycetaceae	19
Campylobacteraceae	19
Nakamurellaceae	21
Bradyrhizobiaceae	22
Dermabacteraceae	27
Fusobacteriaceae	27
Porphyromonadaceae	32
Neisseriaceae	35
Cystobacteraceae	40
Hyphomicrobiaceae	46
Pseudonocardiaceae	50
Burkholderiaceae	50
Methylophilaceae	52
Bacillaceae	54
Cytophagaceae	54
Paenibacillaceae	57
Erythrobacteraceae	60
Legionellaceae	63
Phyllobacteriaceae	66
Micrococcaceae	71
Rhodobacteraceae	76
Veillonellaceae	80
Saprospiraceae	97
Methylobacteriaceae	107
Microbacteriaceae	130
Caulobacteraceae	132
Streptococcaceae	134
Sinobacteraceae	147
Corynebacteriaceae	157
Sphingobacteriaceae	224
Oxalobacteraceae	227
Chloroplast	298
Xanthomonadaceae	319
Burkholderiales	342
Propionibacteriaceae	410
Flavobacteriaceae	538
Sphingomonadaceae	550
Pseudomonadaceae	626
Enterobacteriaceae	1347
Comamonadaceae	1521
Moraxellaceae	2510

Sample is 7824_ELS
Family	Number_16s
Sample is 7824_ELS
Family	Number_16s
Legionellaceae	12
Rhodospirillaceae	14
Staphylococcaceae	15
Methylophilaceae	18
Pasteurellaceae	19
Burkholderiales	20
Chitinophagaceae	20
Caulobacteraceae	21
Campylobacteraceae	22
Sphingobacteriaceae	24
Rhodocyclaceae	25
Alcaligenaceae	25
Microbacteriaceae	29
Chloroplast	35
Enterococcaceae	38
Corynebacteriaceae	43
Rhodobacteraceae	51
Sphingomonadaceae	57
Xanthomonadaceae	90
Flavobacteriaceae	304
Enterobacteriaceae	447
Comamonadaceae	827
Pseudomonadaceae	1150
Moraxellaceae	7106

Sample is 7824_CS
Family	Number_16s
Sample is 7824_CS
Family	Number_16s
Rhodocyclaceae	11
Cytophagaceae	11
Campylobacteraceae	14
Micrococcaceae	15
Methylophilaceae	16
Staphylococcaceae	17
Lachnospiraceae	18
Oxalobacteraceae	24
Propionibacteriaceae	26
Rhodobacteraceae	28
Xanthomonadaceae	35
Sphingomonadaceae	35
Chloroplast	36
Streptococcaceae	78
Microbacteriaceae	110
Flavobacteriaceae	207
Enterobacteriaceae	221
Pseudomonadaceae	384
Comamonadaceae	601
Lactobacillaceae	2538
