Sample is 7504_MIDDLE
Genus	Number_16s

Sample is 7504_LOWER
Genus	Number_16s

Sample is 7518_CB
Genus	Number_16s

Sample is 7518_UPPER
Genus	Number_16s

Sample is 7632_UPPER
Genus	Number_16s

Sample is 7824_LOWER
Genus	Number_16s

Sample is 7632_CS
Genus	Number_16s

Sample is 7632_ELS
Genus	Number_16s

Sample is 7742_ELS
Genus	Number_16s

Sample is 7742_EMS
Genus	Number_16s

Sample is 7751_EMS
Genus	Number_16s
Rhodopseudomonas	14
Massilia	14
Methylotenera	15
Chlorophyta	25
Alkanindiges	27
Methylobacterium	37
Ottowia	47
Microbacterium	51
Paracoccus	60
Comamonas	61
Ralstonia	63
Haemophilus	64
Salinimicrobium	67
Sphingomonas	74
Diaphorobacter	74
Rhizobium	75
Dermacoccus	76
Stenotrophomonas	79
Granulicatella	81
Thiothrix	84
Kocuria	85
Enhydrobacter	87
Streptococcus	100
Skermanella	108
Lactobacillus	109
Novosphingobium	127
Brevundimonas	135
Geobacillus	146
Parvimonas	148
Methylophilus	158
Bdellovibrio	175
OD1	175
Leptotrichia	195
Acidovorax	218
Caulobacter	221
Enterococcus	224
Propionibacterium	226
Herbaspirillum	230
Flavobacterium	271
Bradyrhizobium	292
Nocardioides	305
Pseudomonas	367
Saccharopolyspora	480
Actinomyces	560
Acinetobacter	855
Escherichia/Shigella	1002
Streptophyta	2328

Sample is 7751_EUS
Genus	Number_16s
Zoogloea	12
Arcobacter	19
Ralstonia	19
Nocardiopsis	19
Humicoccus	21
Sanguibacter	21
Arcicella	22
Bosea	22
Brachybacterium	25
Schlegelella	27
Fusobacterium	27
TM7	29
Hydrogenophaga	30
Cupriavidus	31
Variovorax	32
Chryseobacterium	32
Dyadobacter	32
Proteiniphilum	32
Deefgea	35
Aquabacterium	39
Acidovorax	41
Geobacillus	44
Sphingomonas	45
Legionella	45
Pseudoxanthomonas	46
Pseudonocardia	48
Methylotenera	52
Saccharibacillus	57
OD1	63
Bacillariophyta	65
Sphingobacterium	67
Rothia	71
Paracoccus	74
Nevskia	75
Cloacibacterium	78
Veillonella	80
Thermomonas	83
Methylobacterium	107
Flavobacterium	120
Sphingobium	123
Phenylobacterium	130
Streptococcus	134
